card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,3,Lyman Good,/wiki/Lyman_Good,Jim Wallhead,/wiki/Jim_Wallhead,"Unanimous decision (29‰ÛÒ27, 29‰ÛÒ27, 29‰ÛÒ27)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,3,Marius Å_aromskis,/wiki/Marius_%C5%BDaromskis,Nordine Taleb,/wiki/Nordine_Taleb,"Unanimous decision (30‰ÛÒ27, 29‰ÛÒ27, 29‰ÛÒ27)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,2,Michail Tsarev,/wiki/Michail_Tsarev,Tim Welch,N/A,Submission (rear-naked choke),,def.,01:57,Welterweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,3,Andrey Koreshkov,/wiki/Andrey_Koreshkov,Jordan Smith,/wiki/Jordan_Smith_(fighter),"Unanimous decision (29‰ÛÒ28, 29‰ÛÒ28, 29‰ÛÒ28)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,1,Will Martinez,/wiki/Will_Martinez,Casey Johnson,N/A,Submission (rear-naked choke),,def.,02:27,Featherweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,3,Michelle Ould,N/A,Munah Holland,/wiki/Munah_Holland,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 29‰ÛÒ28)",,def.,05:00,Women's Flyweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,1,Alexandre Bezerra,/wiki/Alexandre_Bezerra,Matt McCook,N/A,Submission (rear-naked choke),,def.,03:04,Catchweight (157åÊlb),,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,2,Phillipe Nover,/wiki/Phillipe_Nover,Derrick Kennington,N/A,Technical submission (rear-naked choke),,def.,04:20,Lightweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,1,Brylan Van Artsdalen,/wiki/Brylan_Van_Artsdalen,Jay Haas,/wiki/Jay_Haas_(mixed_martial_artist),Submission (guillotine choke),,def.,01:03,Featherweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","September 28, 2012",Bellator 74,3,Claudio Ledesma,/wiki/Claudio_Ledesma,Kenny Foster,/wiki/Kenny_Foster,"Unanimous decision (30‰ÛÒ27, 30‰ÛÒ27, 30‰ÛÒ27)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
