card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,1,Frank Shamrock,/wiki/Frank_Shamrock,Cesar Gracie,,KO (Punches),,def.,00:21,Middleweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,5,Clay Guida,/wiki/Clay_Guida,Josh Thomson,/wiki/Josh_Thomson,Decision (Unanimous),,def.,05:00,Lightweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,1,Cung Le,/wiki/Cung_Le,Mike Altman,,KO (Punch),,def.,03:51,Middleweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,2,Gilbert Melendez,/wiki/Gilbert_Melendez,Harris Sarmiento,/wiki/Harris_Sarmiento,Submission (Punches),,def.,00:44,Lightweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,1,Nate Diaz,/wiki/Nate_Diaz,Tony Juarez,,TKO (Punches),,def.,03:23,Lightweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,3,Eugene Jackson,,Jorge Ortiz,/wiki/Jorge_Ortiz_(fighter),Decision (Unanimous),,def.,05:00,Middleweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,1,Mike Kyle,/wiki/Mike_Kyle,Krzysztof Soszynski,/wiki/Krzysztof_Soszynski,Technical Draw (Thumb to Soszynski's Eye),,vs.,02:02,Heavyweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,3,Brian Ebersole,/wiki/Brian_Ebersole,Matt Horwich,/wiki/Matt_Horwich,Decision (Unanimous),,def.,05:00,Light Heavyweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,1,Daniel Puder,/wiki/Daniel_Puder,Jesse Fujarczyk,,Submission (Rear-Naked Choke),,def.,01:54,Heavyweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,2,Crafton Wallace,/wiki/Crafton_Wallace,Ray Routh,,KO (Knee),,def.,00:35,Middleweight
,San Jose,"March 10, 2006",Strikeforce: Shamrock vs. Gracie,2,Scott Graham,,Chris Yee,,Submission (Rear-Naked Choke),,def.,02:37,Middleweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,3,Alistair Overeem,/wiki/Alistair_Overeem,Vitor Belfort,/wiki/Vitor_Belfort,Decision (Unanimous),,def.,05:00,Light Heavyweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,5,Gilbert Melendez,/wiki/Gilbert_Melendez,Clay Guida,/wiki/Clay_Guida,Decision (Split),,def.,05:00,Lightweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,1,Cung Le,/wiki/Cung_Le,Brian Warren,/wiki/Brian_Warren,TKO (Punches),,def.,04:19,Middleweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,1,Tyson Griffin,/wiki/Tyson_Griffin,Duane Ludwig,/wiki/Duane_Ludwig,TKO (Punches),,def.,03:57,Lightweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,1,Bobby Southworth,/wiki/Bobby_Southworth,James Irvin,/wiki/James_Irvin_(fighter),NC (Both Fighters Fell From Cage),,vs.,00:17,Light Heavyweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,2,Clint Coronel,,Juan Miranda,,Submission (Anaconda Choke),,def.,01:43,Lightweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,1,Chris Amarante,,Sean Bassett,,Submission (Armbar),,def.,04:37,Middleweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,3,Josh Thomson,/wiki/Josh_Thomson,Harris Sarmiento,/wiki/Harris_Sarmiento,Submission (Arm-Triangle Choke),,def.,03:19,Lightweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,2,Eugene Jackson,,Mike Seal,/wiki/Mike_Seal_(fighter),TKO (Punches),,def.,02:49,Middleweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,1,Daniel Puder,/wiki/Daniel_Puder,Tom Tuggle,,Submission (Armbar),,def.,00:28,Heavyweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,2,Jared Hamman,/wiki/Jared_Hamman,Scott Graham,,TKO (Punches),,def.,01:36,Light Heavyweight
,San Jose,"June 9, 2006",Strikeforce: Revenge,1,Luke Stewart,/wiki/Luke_Stewart,Bill Duvall,,Submission (Armbar),,def.,01:15,Middleweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,1,Paul Buentello,/wiki/Paul_Buentello,David Abbott,/wiki/Tank_Abbott,KO (Punch),,def.,00:43,Heavyweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,2,Josh Thomson,/wiki/Josh_Thomson,Duane Ludwig,/wiki/Duane_Ludwig,Submission (Guillotine Choke),,def.,04:36,Lightweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,1,Trevor Prangley,/wiki/Trevor_Prangley,Anthony Ruiz,/wiki/Anthony_Ruiz,Submission (Armbar),,def.,04:42,Light Heavyweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,1,Cain Velasquez,/wiki/Cain_Velasquez,Jesse Fujarczyk,,TKO (Punches),,def.,01:58,Heavyweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,2,Jason Von Flue,/wiki/Jason_Von_Flue,Eric Wray,,Submission (Arm-Triangle Choke),,def.,02:22,Welteweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,1,Casey Olson,/wiki/Casey_Olson,Bobby Sanchez,,Submission (Guillotine Choke),,def.,01:58,Lightweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,1,Philip Perez,,Brandon Shuey,,Submission (Triangle Choke),,def.,01:28,Lightweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,2,Mike Cook,,Carlton Jones,,Submission (Punches),,def.,02:03,Heavyweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,1,Sam Spengler,,Frank Megallon,,TKO (Punches),,def.,02:38,Middleweight
,"Fresno, California","October 7, 2006",Strikeforce: Tank vs. Buentello,1,Luke Stewart,/wiki/Luke_Stewart,Jeremiah Metcalf,/wiki/Jeremiah_Metcalf,Submission (Rear-Naked Choke),,def.,02:29,Middleweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,5,Bobby Southworth,/wiki/Bobby_Southworth,Vernon White,/wiki/Vernon_White_(fighter),Decision (unanimous),,def.,05:00,Light Heavyweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,2,Paul Buentello,/wiki/Paul_Buentello,Ruben Villareal,,TKO (corner stoppage),,def.,03:57,Heavyweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,1,Cung Le,/wiki/Cung_Le,Jason Von Flue,/wiki/Jason_Von_Flue,TKO (Doctor Stoppage),,def.,00:43,Middleweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,2,Duane Ludwig,/wiki/Duane_Ludwig,Tony Fryklund,/wiki/Tony_Fryklund,TKO (knee),,def.,03:37,Welterweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,3,Josh Thomson,/wiki/Josh_Thomson,Nam Phan,/wiki/Nam_Phan,Decision (unanimous),,def.,05:00,Lightweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,1,Eugene Jackson,,Ronald Jhun,/wiki/Ronald_Jhun,Submission (rear-naked choke),,def.,02:01,Middleweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,3,Gina Carano,/wiki/Gina_Carano,Elaina Maxwell,/wiki/Elaina_Maxwell,Decision (unanimous),,def.,02:00,Women's Featherweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,2,Daniel Puder,/wiki/Daniel_Puder,Mike Cook,,Submission (rear-naked choke),,def.,02:31,Heavyweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,1,Rex Richards,,Kyle Levinton,,Submission (kimura),,def.,02:02,Heavyweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,3,David Smith,/wiki/David_Smith_(fighter),Sean Bassett,,TKO (punches),,def.,01:36,Lightweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,3,Scott Graham,,Drew Dimanlig,,Decision (unanimous),,def.,05:00,Catchweight (194 lb)
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,3,Anthony Figueroa,,David Barrios,,Decision (unanimous),,def.,05:00,Bantamweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,1,Raul Castillo,/wiki/Raul_Castillo,Andrew Montanez,,TKO (punches),,def.,02:10,Middleweight
,San Jose,"December 8, 2006",Strikeforce: Triple Threat,1,Jeffrey Cachia,,Abdullah Johari,,Submission (rear-naked choke),,def.,01:21,Catchweight (179 lb)
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,3,Jose Palacios,,Miguel Linares,,Decision (unanimous),,def.,03:00,
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,3,Chris Cariaso,/wiki/Chris_Cariaso,Andrew Valladerez,,Decision (unanimous),,def.,03:00,
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,3,Michelle Maher,,Elaina Maxwell,/wiki/Elaina_Maxwell,Decision (unanimous),,def.,03:00,
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,1,Nik Theotikos,,Devin Johnson,,TKO (punches),,def.,00:11,
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,1,Billy Evangelista,/wiki/Billy_Evangelista,Isaiah Hill,,TKO (punches),,def.,01:39,
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,3,Yohan Banks,,Joey Beltran,/wiki/Joey_Beltran,Decision (unanimous),,def.,03:00,
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,3,Andrew Montanez,,David Smith,/wiki/David_Smith_(fighter),Decision (unanimous),,def.,03:00,
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,2,Alvin Cacdac,,Bobby Sanchez,,Submission (heel hook),,def.,01:45,
,"San Jose, California","February 10, 2007",Strikeforce: Young Guns,3,Juan Alcain,,Mario Rivera,,Decision (unanimous),,def.,03:00,
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,2,Frank Shamrock,/wiki/Frank_Shamrock,Phil Baroni,/wiki/Phil_Baroni,Submission (rear-naked choke),,def.,04:15,Middleweight
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,2,Murilo Rua,/wiki/Murilo_Rua,Joey Villasenor,/wiki/Joey_Villasenor,KO (punches),,def.,01:05,Middleweight
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,3,Cung Le,/wiki/Cung_Le,Tony Fryklund,/wiki/Tony_Fryklund,TKO (punches),,def.,00:25,Middleweight
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,2,Paul Buentello,/wiki/Paul_Buentello,Carter Williams,/wiki/Carter_Williams,KO (punches),,def.,00:10,Heavyweight
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,1,Josh Thomson,/wiki/Josh_Thomson,Nick Gonzalez,/wiki/Nick_Gonzalez,Submission (rear-naked choke),,def.,01:42,Lightweight
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,2,Paul Daley,/wiki/Paul_Daley,Duane Ludwig,/wiki/Duane_Ludwig,TKO (punches),,def.,00:32,Welterweight
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,2,David Smith,/wiki/David_Smith_(fighter),Sean Bassett,,KO (punch),,def.,01:23,Lightweight
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,1,James Edson Berto,/wiki/James_Edson_Berto,Victor Valenzuela,,Submission (heel hook),,def.,00:47,Lightweight
,HP Pavilion at San Jose,"June 22, 2007",Strikeforce: Shamrock vs. Baroni,1,Nik Theotiko,,Nikk Covert,,KO (punch),,def.,01:13,Middleweight
