city,date,event,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Sao Paulo,"October 16, 1998",UFC Brazil: Ultimate Brazil,Middleweight,,Frank Shamrock,def.,/wiki/Frank_Shamrock,John Lober,/wiki/John_Lober,Submission (punches),Ultimate Fighting Championship,07:40,Ginêsio da Portuguesa
Sao Paulo,"October 16, 1998",UFC Brazil: Ultimate Brazil,Lightweight,,Pat Miletich,def.,/wiki/Pat_Miletich,Mikey Burnett,/wiki/Mikey_Burnett,Split decision,Ultimate Fighting Championship,21:00,Ginêsio da Portuguesa
Sao Paulo,"October 16, 1998",UFC Brazil: Ultimate Brazil,Middleweight,,Vitor Belfort,def.,/wiki/Vitor_Belfort,Wanderlei Silva,/wiki/Wanderlei_Silva,TKO (punches),Ultimate Fighting Championship,00:44,Ginêsio da Portuguesa
Sao Paulo,"October 16, 1998",UFC Brazil: Ultimate Brazil,Heavyweight,,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Tank Abbott,/wiki/Tank_Abbott,KO (punch),Ultimate Fighting Championship,08:07,Ginêsio da Portuguesa
Sao Paulo,"October 16, 1998",UFC Brazil: Ultimate Brazil,Heavyweight,,Tsuyoshi Kosaka,def.,/wiki/Tsuyoshi_Kosaka,Pete Williams,/wiki/Pete_Williams_(mixed_martial_artist),Decision,Ultimate Fighting Championship,15:00,Ginêsio da Portuguesa
Sao Paulo,"October 16, 1998",UFC Brazil: Ultimate Brazil,Middleweight,,Ebenezer Fontes Braga,def.,/wiki/Ebenezer_Fontes_Braga,Jeremy Horn,/wiki/Jeremy_Horn,Submission (guillotine choke),Ultimate Fighting Championship,03:27,Ginêsio da Portuguesa
Sao Paulo,"October 16, 1998",UFC Brazil: Ultimate Brazil,Lightweight,,Cesar Marscucci,def.,,Paulo Santos,,TKO,Ultimate Fighting Championship,10:27,Ginêsio da Portuguesa
Sao Paulo,"October 16, 1998",UFC Brazil: Ultimate Brazil,Middleweight,,Tulio Palhares,def.,,Adriano Santos,,TKO,Ultimate Fighting Championship,09:00,Ginêsio da Portuguesa
New Orleans,"January 8, 1999",UFC 18: The Road to the Heavyweight Title,Lightweight,,Pat Miletich,def.,/wiki/Pat_Miletich,Jorge Patino,/wiki/Jorge_Patino,Unanimous decision,Ultimate Fighting Championship,21:00,Pontchartrain Center
New Orleans,"January 8, 1999",UFC 18: The Road to the Heavyweight Title,Middleweight,,Evan Tanner,def.,/wiki/Evan_Tanner,,,Submission (rear naked choke),Ultimate Fighting Championship,07:57,Pontchartrain Center
New Orleans,"January 8, 1999",UFC 18: The Road to the Heavyweight Title,Lightweight,,Mikey Burnett,def.,/wiki/Mikey_Burnett,Townsend Saunders,/wiki/Townsend_Saunders,Unanimous decision,Ultimate Fighting Championship,15:00,Pontchartrain Center
New Orleans,"January 8, 1999",UFC 18: The Road to the Heavyweight Title,Middleweight,,Tito Ortiz,def.,/wiki/Tito_Ortiz,Jerry Bohlander,/wiki/Jerry_Bohlander,TKO (cut),Ultimate Fighting Championship,14:31,Pontchartrain Center
New Orleans,"January 8, 1999",UFC 18: The Road to the Heavyweight Title,Heavyweight,,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Mark Coleman,/wiki/Mark_Coleman,Split decision,Ultimate Fighting Championship,15:00,Pontchartrain Center
New Orleans,"January 8, 1999",UFC 18: The Road to the Heavyweight Title,Heavyweight,,Bas Rutten,def.,/wiki/Bas_Rutten,Tsuyoshi Kosaka,/wiki/Tsuyoshi_Kosaka,TKO (punches),Ultimate Fighting Championship,14:15,Pontchartrain Center
New Orleans,"January 8, 1999",UFC 18: The Road to the Heavyweight Title,Lightweight,,Laverne Clark,def.,/wiki/Laverne_Clark,,,Submission (strikes),Ultimate Fighting Championship,06:59,Pontchartrain Center
