city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Sao Paulo,"October 16, 1998",Light Heavyweight,,Frank Shamrock,def.,/wiki/Frank_Shamrock,John Lober,/wiki/John_Lober,Submission (punches),Ultimate Fighting Championship,7:40,Ginásio da Portuguesa
Sao Paulo,"October 16, 1998",Welterweight,,Pat Miletich,def.,/wiki/Pat_Miletich,Mikey Burnett,/wiki/Mikey_Burnett,Split decision,Ultimate Fighting Championship,21:00,Ginásio da Portuguesa
Sao Paulo,"October 16, 1998",Light Heavyweight,,Vitor Belfort,def.,/wiki/Vitor_Belfort,Wanderlei Silva,/wiki/Wanderlei_Silva,TKO (punches),Ultimate Fighting Championship,0:44,Ginásio da Portuguesa
Sao Paulo,"October 16, 1998",Heavyweight,,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Tank Abbott,/wiki/Tank_Abbott,KO (punch),Ultimate Fighting Championship,8:07,Ginásio da Portuguesa
Sao Paulo,"October 16, 1998",Heavyweight,,Tsuyoshi Kosaka,def.,/wiki/Tsuyoshi_Kosaka,Pete Williams,/wiki/Pete_Williams_(mixed_martial_artist),Decision,Ultimate Fighting Championship,15:00,Ginásio da Portuguesa
Sao Paulo,"October 16, 1998",Light Heavyweight,,Ebenezer Fontes Braga,def.,/wiki/Ebenezer_Fontes_Braga,Jeremy Horn,/wiki/Jeremy_Horn,Submission (guillotine choke),Ultimate Fighting Championship,3:27,Ginásio da Portuguesa
Sao Paulo,"October 16, 1998",Lightweight,,Cesar Marscucci,def.,,Paulo Santos,,TKO,Ultimate Fighting Championship,10:27,Ginásio da Portuguesa
Sao Paulo,"October 16, 1998",Middleweight,,Tulio Palhares,def.,,Adriano Santos,,TKO,Ultimate Fighting Championship,9:00,Ginásio da Portuguesa
New Orleans,"January 8, 1999",Welterweight,,Pat Miletich,def.,/wiki/Pat_Miletich,Jorge Patino,/wiki/Jorge_Patino,Unanimous decision,Ultimate Fighting Championship,21:00,Pontchartrain Center
New Orleans,"January 8, 1999",Middleweight,,Evan Tanner,def.,/wiki/Evan_Tanner,,,Submission (rear naked choke),Ultimate Fighting Championship,7:57,Pontchartrain Center
New Orleans,"January 8, 1999",Lightweight,,Mikey Burnett,def.,/wiki/Mikey_Burnett,Townsend Saunders,/wiki/Townsend_Saunders,Unanimous decision,Ultimate Fighting Championship,15:00,Pontchartrain Center
New Orleans,"January 8, 1999",Light Heavyweight,,Tito Ortiz,def.,/wiki/Tito_Ortiz,Jerry Bohlander,/wiki/Jerry_Bohlander,TKO (cut),Ultimate Fighting Championship,14:31,Pontchartrain Center
New Orleans,"January 8, 1999",Heavyweight,,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Mark Coleman,/wiki/Mark_Coleman,Split decision,Ultimate Fighting Championship,15:00,Pontchartrain Center
New Orleans,"January 8, 1999",Heavyweight,,Bas Rutten,def.,/wiki/Bas_Rutten,Tsuyoshi Kosaka,/wiki/Tsuyoshi_Kosaka,TKO (punches),Ultimate Fighting Championship,14:15,Pontchartrain Center
New Orleans,"January 8, 1999",Lightweight,,Laverne Clark,def.,/wiki/Laverne_Clark,,,Submission (strikes),Ultimate Fighting Championship,6:59,Pontchartrain Center
Bay St. Louis,"March 5, 1999",Light Heavyweight,,Tito Ortiz,def.,/wiki/Tito_Ortiz,Guy Mezger,/wiki/Guy_Mezger,TKO (punches),Ultimate Fighting Championship,9:55,Casino Magic Bay St. Louis
Bay St. Louis,"March 5, 1999",Heavyweight,,Gary Goodridge,def.,/wiki/Gary_Goodridge,Andre Roberts,/wiki/Andre_Roberts_(Mixed_martial_artist),Submission (punches),Ultimate Fighting Championship,0:42,Casino Magic Bay St. Louis
Bay St. Louis,"March 5, 1999",Light Heavyweight,,Jeremy Horn,def.,/wiki/Jeremy_Horn,Chuck Liddell,/wiki/Chuck_Liddell,Technical Submission (arm-triangle choke),Ultimate Fighting Championship,12:00,Casino Magic Bay St. Louis
Bay St. Louis,"March 5, 1999",Heavyweight,,Kevin Randleman,def.,/wiki/Kevin_Randleman,Maurice Smith,/wiki/Maurice_Smith_(kickboxer),Decision (unanimous),Ultimate Fighting Championship,15:00,Casino Magic Bay St. Louis
Bay St. Louis,"March 5, 1999",Middleweight,,Evan Tanner,def.,/wiki/Evan_Tanner,,,TKO (punches and elbows),Ultimate Fighting Championship,2:57,Casino Magic Bay St. Louis
Bay St. Louis,"March 5, 1999",Heavyweight,,Pete Williams,def.,/wiki/Pete_Williams_(mixed_martial_artist),,,Submission (kneebar),Ultimate Fighting Championship,1:54,Casino Magic Bay St. Louis
Bay St. Louis,"March 5, 1999",Middleweight,,Sione Latu,def.,,Joey Roberts,,TKO (doctor stoppage),Ultimate Fighting Championship,10:01,Casino Magic Bay St. Louis
Birmingham,"May 7, 1999",Heavyweight,,Bas Rutten,def.,/wiki/Bas_Rutten,Kevin Randleman,/wiki/Kevin_Randleman,Decision (split),Ultimate Fighting Championship,21:00,Boutwell Auditorium
